"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Ortiz, Joey","687401","176","10.8",23.9,"111.5","87.8","99.8","92","86.8","425","146","396","68",38.6,"11",6.3,4.3
"Pages, Andy","681624","176","21.9",39.2,"111.1","88.5","100.7","91.9","84.8","429","198","391","76",43.2,"21",11.9,7.9
"Yelich, Christian","592885","175","5",29.7,"112.4","91","102.7","95.3","88.9","441","135","405","83",47.4,"11",6.3,4.3
"Lux, Gavin","666158","175","7.1",29.7,"108.7","87.2","98.1","91.3","85.8","394","137","384","65",37.1,"7",4,2.9
"Sánchez, Jesús","660821","175","9.6",31.4,"115.7","93.7","104.9","96.6","92.8","460","148","426","91",52,"21",12,8.3
"Haniger, Mitch","571745","175","11.5",33.1,"111.3","90.3","101.1","94.3","86.4","405","165","379","84",48,"16",9.1,5.8
"Flores, Wilmer","527038","174","21.6",36.2,"107.1","83.8","95.6","91","77.8","394","177","387","49",28.3,"10",5.7,4.4
"Tucker, Kyle","663656","174","21.6",39.1,"108.1","91","100.4","93.9","85.5","456","217","392","78",44.8,"24",13.8,9.2
"Raleigh, Cal","663728","173","18.4",34.7,"110.2","92.2","102.8","96.3","87","445","192","395","92",53.2,"26",15,8.5
"Montero, Elehuris","660707","171","17",27.5,"114.1","89.5","100.9","94.2","87.2","412","179","392","71",41.5,"13",7.6,5.3
"Lowe, Nathaniel","663993","170","5.7",30.6,"111.8","89.1","99.9","91.2","87.4","395","145","379","66",38.8,"7",4.1,2.8
"Stanton, Giancarlo","519317","170","14",33.5,"120","94.3","108.1","100.9","90.5","449","181","415","92",54.1,"33",19.4,11.7
"Tauchman, Mike","643565","169","16.3",38.5,"110.3","88.8","98.9","92.2","85.8","402","185","380","67",39.6,"13",7.7,5.1
"Thomas, Lane","657041","169","18.3",34.9,"111","90.1","100.6","93.7","87.4","429","175","398","74",43.8,"13",7.7,5.3
"Díaz, Elias","553869","169","9.4",33.1,"110.5","87.8","98.8","91.8","86.2","419","144","401","59",34.9,"6",3.6,2.7
"Rosario, Eddie","592696","168","12.8",28,"110.2","90.6","99.6","93.6","86.6","413","169","378","76",45.2,"9",5.4,3.8
"Caballero, José","676609","167","13.8",32.9,"109.9","83.9","96.5","88.5","79.4","423","150","405","43",25.7,"9",5.4,3.4
"Rocchio, Brayan","677587","167","9.1",37.7,"106.7","85.2","95.9","89.9","83.3","393","148","384","38",22.8,"5",3,2
"Wong, Connor","657136","166","15.6",29.5,"109.1","87.2","99.1","90.8","85.2","416","158","388","59",35.5,"8",4.8,3.5
"Isbel, Kyle","664728","166","7.3",25.9,"109","89.1","100.1","92.4","87.8","412","140","402","66",39.8,"8",4.8,3.6
"Anderson, Tim","641313","166","1.4",29.5,"108.9","86.1","97","91.7","82.8","397","118",,"50",30.1,"3",1.8,1.2
"Stephenson, Tyler","663886","165","7.9",33.3,"111","90.6","100.7","95.1","86.5","433","160","388","76",46.1,"16",9.7,7
"Meyers, Jake","676694","165","13.8",35.2,"110","89.5","100.6","93.1","86","415","168","377","69",41.8,"13",7.9,5.3
"Schneider, Davis","676914","165","22.6",37,"109.3","88.9","98.8","92.9","81.7","423","202","384","59",35.8,"23",13.9,8.5
"Kepler, Max","596146","164","18.9",34.1,"115.4","89.7","100.3","92.2","86.7","426","198","413","64",39,"15",9.1,6.6
"Melendez, MJ","669004","164","14.4",28.7,"112.9","91.1","101.3","95","89.7","431","166","414","70",42.7,"16",9.8,6.3
"Perkins, Blake","663368","164","7.6",29.9,"106.8","88.6","98.1","92.5","86","406","135","387","62",37.8,"8",4.9,3.1
